country_id,flag_image_url
LT,https://flagsapi.com/LT/flat/64.png
LU,https://flagsapi.com/LU/flat/64.png
LV,https://flagsapi.com/LV/flat/64.png
LY,https://flagsapi.com/LY/flat/64.png
MA,https://flagsapi.com/MA/flat/64.png
MC,https://flagsapi.com/MC/flat/64.png
MD,https://flagsapi.com/MD/flat/64.png
ME,https://flagsapi.com/ME/flat/64.png
MF,https://flagsapi.com/MF/flat/64.png
MG,https://flagsapi.com/MG/flat/64.png
MH,https://flagsapi.com/MH/flat/64.png
MK,https://flagsapi.com/MK/flat/64.png
ML,https://flagsapi.com/ML/flat/64.png
MM,https://flagsapi.com/MM/flat/64.png
MN,https://flagsapi.com/MN/flat/64.png
MO,https://flagsapi.com/MO/flat/64.png
MP,https://flagsapi.com/MP/flat/64.png
MQ,https://flagsapi.com/MQ/flat/64.png
MR,https://flagsapi.com/MR/flat/64.png
MS,https://flagsapi.com/MS/flat/64.png
MT,https://flagsapi.com/MT/flat/64.png
MU,https://flagsapi.com/MU/flat/64.png
MV,https://flagsapi.com/MV/flat/64.png
MW,https://flagsapi.com/MW/flat/64.png
MX,https://flagsapi.com/MX/flat/64.png
MY,https://flagsapi.com/MY/flat/64.png
MZ,https://flagsapi.com/MZ/flat/64.png
NA,https://flagsapi.com/NA/flat/64.png
NC,https://flagsapi.com/NC/flat/64.png
NE,https://flagsapi.com/NE/flat/64.png
NF,https://flagsapi.com/NF/flat/64.png
NG,https://flagsapi.com/NG/flat/64.png
NI,https://flagsapi.com/NI/flat/64.png
NL,https://flagsapi.com/NL/flat/64.png
NO,https://flagsapi.com/NO/flat/64.png
NP,https://flagsapi.com/NP/flat/64.png
NR,https://flagsapi.com/NR/flat/64.png
NU,https://flagsapi.com/NU/flat/64.png
NY,https://flagsapi.com/NY/flat/64.png
NZ,https://flagsapi.com/NZ/flat/64.png
OM,https://flagsapi.com/OM/flat/64.png
PA,https://flagsapi.com/PA/flat/64.png
PE,https://flagsapi.com/PE/flat/64.png
PF,https://flagsapi.com/PF/flat/64.png
PG,https://flagsapi.com/PG/flat/64.png
PH,https://flagsapi.com/PH/flat/64.png
PK,https://flagsapi.com/PK/flat/64.png
PL,https://flagsapi.com/PL/flat/64.png
